Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Campus,Status,Schedule Type,Attribute
Intro To Info Security,Computer Science,6035,O01,3,84244,Fall 2026,"Lee, Wenke (Primary)",Online,"404 of 750 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Graduate Intro to OS,Computer Science,6200,O01,3,85340,Fall 2026,"Gavrilovska, Ada (Primary)",Online,"634 of 1150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Adv Operating Systems,Computer Science,6210,O01,3,83927,Fall 2026,"Ramachandran, Umakishore (Primary)",Online,"109 of 475 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Sys Design Cloud Comput,Computer Science,6211,O01,3,89665,Fall 2026,"Ramachandran, Umakishore (Primary)",Online,"50 of 75 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Secure Computer Systems,Computer Science,6238,O01,3,86006,Fall 2026,"Ahamad, Mustaque (Primary)",Online,"89 of 100 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Computer Networks,Computer Science,6250,O01,3,83928,Fall 2026,"Konte, Maria (Primary)",Online,"29 of 700 seats remain.
790 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Applied Cryptography,Computer Science,6260,O01,3,87076,Fall 2026,"Boldyreva, Alexandra (Primary)",Online,"131 of 150 seats remain.
100 of 100 waitlist seats remain.",Lecture*,
Cyber Incident Response,Computer Science,6261,O01,3,91357,Fall 2026,"Lummis, Jimmy (Primary)",Online,"3 of 50 seats remain.
6 of 100 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Network Security,Computer Science,6262,O01,3,84604,Fall 2026,"Lee, Wenke (Primary)",Online,"168 of 300 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Intro Cyber Phys Sys Sec,Computer Science,6263,O01,3,85399,Fall 2026,"Zonouz, Saman (Primary)",Online,"184 of 225 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Infosec Labs: Defenses,Computer Science,6264,O01,3,87937,Fall 2026,"Lee, Wenke (Primary)",Online,"38 of 50 seats remain.
50 of 50 waitlist seats remain.",Lecture*,Isolate Course in Canvas
Info Sec Lab Binexp,Computer Science,6265,O01,3,86133,Fall 2026,"Kim, Taesoo (Primary)",Online,"11 of 50 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
High Perform Comput Arch,Computer Science,6290,O01,3,83931,Fall 2026,"Prvulovic, Milos (Primary)",Online,"8 of 300 seats remain.
964 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Embedded Software Opt.,Computer Science,6291,O01,3,85341,Fall 2026,"Pande, Santosh (Primary)",Online,"118 of 150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Software Dev Process,Computer Science,6300,O01,3,83929,Fall 2026,"Manning, Ben (Primary)
Spoletini, Paola",Online,"1 of 1000 seats remain.
87 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,No-cost req'd textbooks
Software Arch & Design,Computer Science,6310,O01,3,83932,Fall 2026,"Moss, Mark (Primary)",Online,"402 of 600 seats remain.
999 of 999 waitlist seats remain.",Lecture*,No-cost req'd textbooks
Software Analysis & Test,Computer Science,6340,O01,3,84600,Fall 2026,"Poch, Chris
Naik, Mayur (Primary)",Online,"239 of 400 seats remain.
999 of 999 waitlist seats remain.",Lecture*,"Isolate Course in Canvas

No-cost req'd textbooks"
DB Sys Concepts& Design,Computer Science,6400,O01,3,84601,Fall 2026,"Mark, Leo (Primary)",Online,"528 of 700 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Database System Implemnt,Computer Science,6422,O01,3,93018,Fall 2026,"Arulraj, Joy James Prabhu (Primary)",Online,"9 of 150 seats remain.
968 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Digital Health Equity,Computer Science,6435,O01,3,91324,Fall 2026,"Parker, Andrea (Primary)",Online,"9 of 150 seats remain.
931 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,No-cost req'd textbooks
Intro Health Informatics,Computer Science,6440,O01,3,83933,Fall 2026,"Duke, Jon (Primary)",Online,"20 of 450 seats remain.
856 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Video Game Design,Computer Science,6457,O01,3,87367,Fall 2026,"Wilson, Jeff (Primary)",Online,"306 of 500 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Educ Tech-Foundations,Computer Science,6460,O01,3,84342,Fall 2026,"Joyner, David (Primary)",Online,"3 of 200 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Comp. Photography,Computer Science,6475,O01,3,84243,Fall 2026,"Essa, Irfan (Primary)",Online,"149 of 200 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Computer Vision,Computer Science,6476,O01,3,84338,Fall 2026,"Essa, Irfan (Primary)
Shi, Honghui",Online,"185 of 450 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Computer Graphics,Computer Science,6491,O01,3,93014,Fall 2026,"Wilson, Jeff (Primary)",Online,"2 of 250 seats remain.
992 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Intro to Grad Algorithms,Computer Science,6515,O01,3,86005,Fall 2026,"Brito, Gerandy (Primary)",Online,"11 of 200 seats remain.
478 of 999 waitlist seats remain.
Open Seats Reserved for Waitlisted Only.",Lecture*,
Artificial Intelligence,Computer Science,6601,O01,3,84602,Fall 2026,"Ploetz, Thomas (Primary)",Online,"467 of 1450 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
AI Ethics Society,Computer Science,6603,O01,3,87912,Fall 2026,"Mandala, Mahender (Primary)",Online,"38 of 800 seats remain.
373 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Advance Internet Comput,Computer Science,6675,O01,3,88594,Fall 2026,"Liu, Ling (Primary)",Online,"132 of 150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
ADV Malware Analysis,Computer Science,6747,O01,3,87911,Fall 2026,"Saltaformaggio, Brendan (Primary)",Online,"2 of 50 seats remain.
42 of 50 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Human-Computer Interact,Computer Science,6750,O01,3,84732,Fall 2026,"Joyner, David (Primary)",Online,"695 of 1150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Intro-Cognitive Science,Computer Science,6795,O01,3,88593,Fall 2026,"McGreggor, Brian (Primary)",Online,"8 of 750 seats remain.
875 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Distributed Computing,Computer Science,7210,O01,3,87913,Fall 2026,"Gavrilovska, Ada (Primary)",Online,"10 of 150 seats remain.
977 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Network Science,Computer Science,7280,O01,3,87914,Fall 2026,"Prakash, Bodicherla Aditya (Primary)",Online,"2 of 200 seats remain.
989 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
GPU HW and SW,Computer Science,7295,O01,3,94504,Fall 2026,"Kim, Hyesoon (Primary)",Online,"11 of 300 seats remain.
918 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Intro Quantum Computing,Computer Science,7400,O01,3,91329,Fall 2026,"Qureshi, Moinuddin (Primary)",Online,"88 of 200 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Ubiquitous Computing,Computer Science,7470,O01,3,88595,Fall 2026,"Adams, Alexander (Primary)",Online,"15 of 300 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Computer Animation,Computer Science,7496,O01,3,93015,Fall 2026,"Ha, Sehoon (Primary)",Online,"62 of 150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Game AI,Computer Science,7632,O01,3,87915,Fall 2026,"Wilson, Jeff (Primary)",Online,"22 of 700 seats remain.
832 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Knowledge-Based AI,Computer Science,7637,O01,3,83934,Fall 2026,"Joyner, David (Primary)",Online,"345 of 1250 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Robotics: AI Techniques,Computer Science,7638,O01,3,86044,Fall 2026,"Summet, Jay (Primary)",Online,"454 of 900 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Cyber Physical Design,Computer Science,7639,O01,3,85990,Fall 2026,"Feron, Eric (Primary)",Online,"58 of 100 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Machine Learning,Computer Science,7641,O01,3,83930,Fall 2026,"LaGrow, TJ (Primary)",Online,"388 of 1450 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Reinforcement Learning,Computer Science,7642,O01,3,87916,Fall 2026,"Borela Valente, Rodrigo (Primary)",Online,"259 of 550 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
